AGENCY_CLIENTID,AGENCY_CODE,LNAME,FNAME,DOB
193352,37,OBAMA,BARACK,1959-03-22
193354,37,OBAMA,MICHELLE,1966-03-03
193360,37,TEUTAL,MIKEY,
193362,37,NICOLAS,SAINT,
193364,37,MAGARET,STEVE,
193366,37,TERRY,SANDI,
193368,37,DOUGLAS,MICHAEL,
193370,37,NOTEWORTHY,IAM,
193372,37,POPE,ALEX,
194954,37,SAUER,WHICK,2011-04-04
195862,37,MISTI,LERANKO,1969-03-03
198498,37,SMITH,JOHN,1973-04-10
199002,37,CHARLET,SMITH,1980-08-01
194952,37,SAUER,WHISKEN,2011-04-11
193276,37,SAUER,WHISKEY,1955-09-05
193318,37,SMITH,REBECCA,1956-08-12
193320,37,JACKSON,JOE,1912-02-22
193322,37,ANDERSON,NEILS,1959-11-22
193324,37,MANTLE,MICKEY,1902-01-12
193326,37,MISIRLIAN,VASKEN,1956-02-22
193306,37,SAUER,BONNIE,1948-09-17
204748,246,KENNERLY,LAVAUGHN,1972-06-29
204750,246,BROWN,COTEL,1937-02-04
204754,246,RUSSELL,TAMMY,1968-05-10
204772,246,CREEL,DEBRA,1967-07-07
204742,246,GLEATON,RICHARD,1956-03-20
204816,37,SLICK,TOM,1966-12-25
204830,246,TAYLOR,JOSEPH,1983-01-09
204844,246,TRAPPIER,QUEEN,1955-07-05
205202,37,GLOVER,JONNEY,1955-06-21
205326,246,BAZZLE,CATHY,1959-10-13
205340,246,SANDERS,SYLVIA,1946-04-19
204744,246,WILLIAMS,CHERIE,1956-12-20
204854,37,JAMES,MICHAEL,2012-03-14
204856,37,BEN,BELL,1955-07-05
204868,246,BOYD,CARRIE,1922-06-29
204870,246,ELMORE,ADRIANNE,1984-06-23
204912,246,CURTIS,FELECIA,1960-11-25
205090,37,RODRIGUEZ,MARILYN,1968-02-03
205130,37,BROWN,ROY,0050-01-01
204490,37,LACKEY,JOE,1976-01-01
204718,37,JONES,RABUN,1989-09-04
204820,246,YOUNG,GAYLE,1956-04-01
204822,246,VAN DEE,DENISE,1958-11-04
204826,246,RODGERS,SHIRLEY,1950-01-30
204836,246,COLEMAN,CALEB,2010-01-28
204892,246,JOHNSON,MICHAEL,1956-01-09
205318,246,WALKER,JULIE,1959-11-28
205346,246,SANDERS,THELMA,1943-05-17
205498,37,YOUNG,WILLIE,1955-06-05
205792,246,HORLBACK,KENNETH,1992-10-20
205794,246,STEWART,ROSE,1969-01-08
204740,246,WILLIAMS,VALERIE,1962-09-11
204770,246,CAMPBELL,LOIS,1956-05-15
204860,246,GREENE,MARIE,1952-12-29
204894,246,WILLIAMS,APRIL,1988-04-22
204900,246,YOUNGBLOOD,FRANK,1958-12-26
204910,246,SHULER,INEZ,1939-08-11
204998,37,SERRANO,MIIGDALIA,2012-06-04
204752,246,HILLIARD,JANIE,1963-03-01
204758,246,TEST,CATHERINE,1988-10-17
204766,246,WINBORNE-SIMMONS,PARIS,2004-01-22
204768,246,SOLES,LISA,1964-08-28
205796,246,PETTROSS,BONNIE,1964-02-02
205798,246,HARMON,CHERYL,1963-12-03
204746,246,THOMAS,LAURA,1977-07-31
204756,246,ADAMS,MOLLY,1946-09-25
204760,246,WILLIAMS,LUCY,1939-04-04
205316,246,MOOD,PARIS,1992-01-16
205320,246,WILLIAMS,ROSA,1949-08-01
205322,246,MIKELL,PANDORA,1951-08-29
205332,246,WILLIAMS,ALBERTHA,1925-02-28
205386,37,PERRY,ALETHIA,2012-07-16
205442,246,MOSELEY,JASON,1979-01-20
205444,246,SMITH,DENISE,1965-03-20
205446,246,FREEMAN,JANNIE,1955-03-02
205466,246,SABRINA,HAWKINS,2001-01-01
204832,246,JENKINS,JOYCE,1948-07-25
204834,246,TAYLOR,TABITHA,1967-10-09
204896,246,EDGE,GLADYS,1939-02-28
204920,37,CHOU,BART,2011-06-22
205718,37,MICHAEL,WHELLER,1977-09-07
205720,37,MICHAEL,WHELLER,1977-09-07
205804,37,SMITH,JOHN,1977-09-12
205806,246,PERRY,RICKEY,1968-07-28
204814,246,MOUSE,MICKEY,0001-01-01
205126,37,WELL,BETTY,1959-07-05
205324,246,SANDERS,RUDOLPH,1949-02-19
205558,37,JOE,BLACK,1948-08-16
205692,37,TORREY,NIKKI,1960-01-24
205694,37,MIMS,LISA,1960-01-24
205204,37,WILLIAM,SANDY,1973-03-02
205328,246,BAZZLE,CHARLIE,1967-07-14
205330,246,PINCKNEY,GLADYS,1938-10-15
204494,37,RAWLINGS,JOHNNY,2011-05-18
204812,37,BEATTIE,BAILEE,1956-03-20
204824,246,BACHO,EDITH,1959-02-06
205388,37,JONES,SHERON,1951-03-11
205440,246,BROWN,WANDA,1960-06-20
205448,246,ALSTON,ALDEAN,1965-09-22
205708,246,GEDDIS,DEANTE,2003-08-18
205710,246,WRIGHT,BEVERLY,1959-03-23
204828,246,ROBERTSON,STEVEN,1963-05-21
204862,246,HOWARD ,JOCELYN,1953-10-17
204888,246,CARPENTER,DAVID,1967-05-06
204906,246,RIVERS,ADRIENNE,1972-10-24
205342,246,SANDERS,GEORGE,1942-07-30
205344,246,WATTS,DARLENE,1963-08-06
204492,37,ALONE,LEAVEME,1993-03-03
204878,246,JOHNSON,EBONY,1991-11-06
204880,246,BRISTOL,SHAVEN,1990-11-04
204882,246,VARNER,MARYANN,1944-09-05
204884,246,BENNETT,THOMASENA,1966-08-16
205128,37,KITT,MAY,1920-05-08
204908,246,CANCER,ANGELA,1967-07-25
204722,246,JACOBS,CHARLENE,1962-03-14
204724,246,DAVIS,SHAREKIA,1985-06-15
204726,246,BELL,MAY,1955-02-04
204728,246,MONROE,MARY,1962-03-14
204730,246,TITUS,AUDREY,1987-02-25
204732,246,RAMSEY,RACHEL,1989-02-09
204734,246,MCKINNEY,PEGGY,1965-01-17
205706,246,TRAPPIER,VERNON,1973-10-07
205808,246,DICKERSON,NORVELL,1956-09-28
204886,246,WALKER,NEDRA,1987-01-17
204890,246,ELMORE,TENEESHA,1989-09-18
206066,37,HAMILTON,JEAN,1968-09-28
204818,246,MOUSE,MICKEY,2012-05-14
204864,246,BROWN,SIERRA,1985-12-27
204866,246,BROWN,KAWANDA,1977-11-18
205450,246,ALSTON,ARTHUR,1948-11-01
205712,37,MAZYCK,YVONNE,1958-03-25
205752,37,BROWN,BETTY,1974-10-20
205802,246,COOK,WILLIAM,1965-12-01
204872,246,GRANT,EULA,1948-08-16
204874,246,HUMPHRIES,CAROL,1951-08-23
204876,246,HEARD,EDWIN,1951-02-16
204898,246,CARTER,ARLINE,1959-01-21
204902,246,CARTER-TUCKER,JANEIRA,2004-02-26
204904,246,COURMAN,MIS,1970-05-24
205006,37,SERRANO,MIGDALIA,1999-11-25
205116,37,TRAPPIER,QUEEN,1955-07-05
205118,37,WELLS,BETTY,1975-05-03
205120,37,KING,DENISHA,1968-10-10
205138,37,BELL,WELL,2011-07-04
205300,37,TRAPPIER,MICHAEL,1955-09-07
205756,37,BEN,BELL,1955-02-03
205800,246,DIETIKER,BRENDA,1961-11-25
204572,37,QUATTLEBAUM,JOE,1944-02-02
204720,246,SAUER,SCOTT,1963-04-20
204762,246,CLARK,CLAY,1941-06-03
204764,246,JOHNSON,LONDON,2010-02-03
